"athleteName","clubName","countryName"
"Jim Furnell","Arsenal F.C.","United Kingdom"
"George Kennedy (Scottish footballer)","Chelsea F.C.","United Kingdom"
"Des McLean (footballer)","Arsenal F.C.","United Kingdom"
"Reg Boreham","Arsenal F.C.","United Kingdom"
"Benoît Badiashile","Chelsea F.C.","France"
"Enzo Fernández","Chelsea F.C.","Argentina"
"Henrikh Mkhitaryan","Arsenal F.C.","Armenia"
"Ethan Nwaneri","Arsenal F.C.","United Kingdom"
"David de Gea","Manchester United F.C.","Spain"
"Max Dowman","Arsenal F.C.","United Kingdom"
"Álvaro Carreras","Manchester United F.C.","Spain"
"Tyrique George","Chelsea F.C.","United Kingdom"
"Febian Brandy","Manchester United F.C.","United Kingdom"
"Andy King (footballer, born 1988)","Chelsea F.C.","United Kingdom"
"Oriol Romeu","Chelsea F.C.","Spain"
"Radamel Falcao","Manchester United F.C.","Colombia"
"N'Golo Kanté","Chelsea F.C.","France"
"Marco van Ginkel","Chelsea F.C.","Netherlands"
"Kyle Ebecilio","Arsenal F.C.","Netherlands"
"Pierre Issa","Chelsea F.C.","South Africa"
"Moses Barnett","Arsenal F.C.","Sierra Leone"
"Mickey Hamill","Manchester United F.C.","United Kingdom"
"Yves Ma-Kalambay","Chelsea F.C.","Belgium"
"Chris Willock","Arsenal F.C.","United Kingdom"
"Donyell Malen","Arsenal F.C.","Netherlands"
"Dion Conroy","Chelsea F.C.","United Kingdom"
"Dan Gore","Manchester United F.C.","United Kingdom"
"Dean Henderson","Manchester United F.C.","United Kingdom"
"George McEachran","Chelsea F.C.","United Kingdom"
"Joseph Olowu","Arsenal F.C.","Nigeria"
"John Swift (footballer, born 1995)","Chelsea F.C.","United Kingdom"
"James Nolan (footballer)","Manchester United F.C.","United Kingdom"
"Kieran Tierney","Arsenal F.C.","United Kingdom"
"Lee Grant (footballer, born 1983)","Manchester United F.C.","United Kingdom"
"Luke Ayling","Arsenal F.C.","United Kingdom"
"Nathan Moriah-Welsh","Chelsea F.C.","United Kingdom"
"Robbie Brady","Manchester United F.C.","Republic of Ireland"
"Robbie Savage","Manchester United F.C.","United Kingdom"
"Semi Ajayi","Arsenal F.C.","United Kingdom"
"Toby Collyer","Manchester United F.C.","United Kingdom"
"Tahith Chong","Manchester United F.C.","Kingdom of the Netherlands"
"Łukasz Fabiański","Arsenal F.C.","Poland"
"Victor Lindelöf","Manchester United F.C.","Sweden"
"Zak Sturge","Chelsea F.C.","United Kingdom"
"Tyrell Warren","Manchester United F.C.","United Kingdom"
"Noah Ohio","Manchester United F.C.","Netherlands"
"Miro Muheim","Chelsea F.C.","Switzerland"
"Josh Benson","Arsenal F.C.","United Kingdom"
"Xavier Amaechi","Arsenal F.C.","United Kingdom"
"Mark Schwarzer","Chelsea F.C.","Australia"
"Nicklas Bendtner","Arsenal F.C.","Danish Realm"
"Fabio Borini","Chelsea F.C.","Italy"
"Willy Caballero","Chelsea F.C.","Argentina"
"Les Sealey","Manchester United F.C.","United Kingdom"
"Clem Beddow","Manchester United F.C.","United Kingdom"
"Byron Glasgow","Arsenal F.C.","United Kingdom"
"Clive Griffiths (footballer)","Manchester United F.C.","United Kingdom"
"Jake Lawlor (English footballer)","Manchester United F.C.","England"
"Jack Aston","Arsenal F.C.","United Kingdom"
"Jock Archibald","Chelsea F.C.","Scotland"
"Syd Hoar","Arsenal F.C.","United Kingdom"
"Geovane (footballer, born 1992)","Arsenal F.C.","Brazil"
"Tim Elmes","Chelsea F.C.","United Kingdom"
"George Dale (footballer)","Chelsea F.C.","United Kingdom"
"Zeki Fryers","Manchester United F.C.","United Kingdom"
"Jimmy Jackson (footballer, born 1875)","Arsenal F.C.","United Kingdom"
"Ben Sampayo","Chelsea F.C.","United Kingdom"
"Mark Bosnich","Chelsea F.C.","Australia"
"Edu (footballer, born 1978)","Arsenal F.C.","Brazil"
"Gaël Kakuta","Chelsea F.C.","France"
"Eric Bailly","Manchester United F.C.","Ivory Coast"
"Willie Young (footballer, born 1951)","Arsenal F.C.","United Kingdom"
"Jami Puustinen","Manchester United F.C.","Finland"
"Tony Bedeau","Chelsea F.C.","United Kingdom"
"Danny Francis (footballer, born 1986)","Arsenal F.C.","United Kingdom"
"Steve Arnold (footballer, born 1989)","Arsenal F.C.","United Kingdom"
"James Thomson (footballer, fl. 1912–1928)","Manchester United F.C.","Scotland"
"James Saunders (footballer)","Chelsea F.C.","United Kingdom"
"David Lyner","Manchester United F.C.","United Kingdom"
"James Robinson (footballer, born 1899)","Manchester United F.C.","United Kingdom"
"Harry Worrall","Manchester United F.C.","United Kingdom"
"Simon Lyons","Arsenal F.C.","United Kingdom"
"Francis Coquelin","Arsenal F.C.","France"
"Mikaël Silvestre","Manchester United F.C.","France"
"Kenneth Omeruo","Chelsea F.C.","Nigeria"
"Mika Biereth","Arsenal F.C.","United Kingdom"
"Alex (footballer, born June 1982)","Chelsea F.C.","Brazil"
"Armand Traoré","Arsenal F.C.","France"
"Alexander Büttner","Manchester United F.C.","Netherlands"
"Andy Dow","Chelsea F.C.","United Kingdom"
"Niccolò Galli (footballer, born 1983)","Arsenal F.C.","Italy"
"David Copeland (footballer)","Chelsea F.C.","United Kingdom"
"David Bradley (footballer)","Manchester United F.C.","United Kingdom"
"Ernie Wilkinson","Arsenal F.C.","United Kingdom"
"Joe Carolan","Manchester United F.C.","Republic of Ireland"
"Tommy Black (footballer, born 1908)","Arsenal F.C.","United Kingdom"
"Tommy Robson","Chelsea F.C.","United Kingdom"
"Tommy O'Neil","Manchester United F.C.","United Kingdom"
"Tommy Rigg","Arsenal F.C.","United Kingdom"
