"athleteName","clubName","countryName"
"Kepa Arrizabalaga","Chelsea F.C.","Spain"
"James Garner (footballer, born 2001)","Manchester United F.C.","United Kingdom"
"Nuno Tavares","Arsenal F.C.","Portugal"
"Evandro Brandão","Manchester United F.C.","Angola"
"Ashley Cole","Chelsea F.C.","United Kingdom"
"Mason Greenwood","Manchester United F.C.","United Kingdom"
"David Court (footballer)","Arsenal F.C.","United Kingdom"
"Mal Donaghy","Chelsea F.C.","United Kingdom"
"Willie McDonald","Manchester United F.C.","Scotland"
"Wyn Davies","Manchester United F.C.","United Kingdom"
"Jan Novacki","Manchester United F.C.","United Kingdom"
"Bill Finlayson","Chelsea F.C.","United Kingdom"
"Malcolm Ebiowei","Chelsea F.C.","United Kingdom"
"Danny Webber","Manchester United F.C.","United Kingdom"
"Paolo Vernazza","Arsenal F.C.","United Kingdom"
"Amario Cozier-Duberry","Arsenal F.C.","United Kingdom"
"Adnan Januzaj","Manchester United F.C.","Belgium"
"Axel Tuanzebe","Manchester United F.C.","Democratic Republic of the Congo"
"Wilfried Zaha","Manchester United F.C.","Ivory Coast"
"Ashley Fletcher","Manchester United F.C.","United Kingdom"
"Glen Kamara","Arsenal F.C.","Finland"
"Ibane Bowat","Chelsea F.C.","United Kingdom"
"Harry Maguire","Manchester United F.C.","United Kingdom"
"Jorginho (footballer, born December 1991)","Arsenal F.C.","Brazil"
"Jake Clarke-Salter","Chelsea F.C.","United Kingdom"
"Jorginho (footballer, born December 1991)","Chelsea F.C.","Brazil"
"Joel Castro Pereira","Manchester United F.C.","Switzerland"
"Kayne Ramsay","Chelsea F.C.","England"
"Krystian Bielik","Arsenal F.C.","Poland"
